TckrSymb,0FUT ,"CE,ATM ","CE,I 1-5 ","CE,I >5 ","CE,O 1-5 ","CE,O >5 ","PE,ATM ","PE,I 1-5 ","PE,I >5 ","PE,O 1-5 ","PE,O >5 ",UndrlygPric,TradDt
BAJAJ-AUTO,-282,385,226,6,1554,713,-368,-74,13,671,628,7912.25,2025-04-03
BAJAJFINSV,-372,-45,-114,-2,282,1214,225,108,12,273,830,2007.35,2025-03-28
BAJAJFINSV,-1179,-19,23,-7,720,4296,34,-714,14,-41,297,1937.1,2025-04-01
BAJAJFINSV,-392,24,-4,-4,768,754,64,52,5,18,209,1930.9,2025-04-02
BAJAJFINSV,-963,75,68,3,593,-1281,-70,-57,-2,141,326,1920.45,2025-04-03
BAJFINANCE,-124,98,129,-142,512,736,248,-51,7,562,140,8945.6,2025-03-28
BAJFINANCE,1456,88,78,24,1523,1058,216,-843,-47,759,437,8698.15,2025-04-01
BAJFINANCE,315,349,126,22,2162,891,431,264,-7,745,592,8669.25,2025-04-02
BAJFINANCE,1506,359,202,2,2783,1372,356,271,-3,607,1294,8594.7,2025-04-03
BALKRISIND,22,4,23,5,177,184,16,51,4,89,229,2554.7,2025-03-28
BALKRISIND,-74,-1,13,3,26,-11,19,18,-2,20,1,2523.55,2025-04-01
BALKRISIND,12,10,8,1,50,251,18,5,-1,34,49,2567.05,2025-04-02
BALKRISIND,-132,4,26,8,112,220,-1,4,7,59,156,2481.85,2025-04-03
BANDHANBNK,813,68,75,63,890,314,116,441,111,489,203,146.3,2025-03-28
BANDHANBNK,-656,-21,43,2,105,12,2,-18,15,38,107,149.5,2025-04-01
BANDHANBNK,120,116,-41,8,338,90,34,-12,13,41,-23,151.55,2025-04-02
BANDHANBNK,581,-83,-689,0,552,222,32,106,26,243,-67,156.6,2025-04-03
BANKBARODA,-91,19,-67,15,658,452,-15,154,61,-157,275,228.55,2025-03-28
BANKBARODA,-3717,13,-34,-9,298,44,116,126,7,269,49,228.6,2025-04-01
BANKBARODA,-1316,116,127,-17,1020,-115,53,122,2,314,-34,231.5,2025-04-02
BANKBARODA,1704,21,49,-73,492,325,85,210,55,451,237,236.8,2025-04-03
BANKINDIA,283,17,17,-7,-1,122,30,83,6,226,17,107.12,2025-03-28
BANKINDIA,-33,-24,-29,-18,98,370,48,8,3,282,-49,110.3,2025-04-01
BANKINDIA,-314,3,-84,67,13,61,5,6,0,161,-133,111.55,2025-04-02
BANKINDIA,566,25,-168,-38,148,579,243,345,1,52,-57,114.9,2025-04-03
BEL,470,151,86,5,993,721,157,159,153,797,311,301.3,2025-03-28
BEL,1611,209,-92,4,1656,1061,240,777,27,1382,220,292,2025-04-01
BEL,2621,1197,466,-3,3930,2276,-112,-1044,9,1749,1091,282.4,2025-04-02
BEL,-1302,-3,-250,10,-305,348,-14,-61,-1,105,-143,287.5,2025-04-03
BERGEPAINT,-69,33,2,0,132,336,23,66,2,183,144,500.15,2025-03-28
BERGEPAINT,-137,4,15,1,47,28,10,-19,0,59,19,493.5,2025-04-01
BERGEPAINT,-83,-3,-30,0,-53,53,11,0,0,-24,48,505.1,2025-04-02
BERGEPAINT,14,-8,-32,0,127,70,-1,0,0,53,30,511.3,2025-04-03
BHARATFORG,639,119,12,1,520,406,-1,49,2,174,326,1169.1,2025-03-28
BHARATFORG,-153,35,12,0,51,-6,45,5,4,207,101,1148.65,2025-04-01
BHARATFORG,-304,15,20,0,132,193,143,16,2,61,70,1152.95,2025-04-02
BHARATFORG,1554,76,16,,799,114,83,-136,-4,688,164,1117.15,2025-04-03
BHARTIARTL,2194,101,213,37,753,846,19,-22,0,737,836,1733.35,2025-03-28
BHARTIARTL,1420,109,56,-1,5286,1137,243,323,1,322,460,1724.15,2025-04-01
BHARTIARTL,-1097,243,56,-9,1952,383,383,182,2,1359,217,1754.6,2025-04-02
BHARTIARTL,-1104,107,3,-6,2563,173,-58,76,2,-17,-161,1746,2025-04-03
BHEL,-1240,42,94,20,1296,452,219,211,5,399,262,216.4,2025-03-28
BHEL,-1134,69,-12,0,520,132,138,45,-9,69,56,211.7,2025-04-01
BHEL,138,198,41,0,393,85,78,-95,0,396,71,212.55,2025-04-02
BHEL,659,-27,-38,-2,292,86,-3,-45,0,1035,35,218.7,2025-04-03
BIOCON,-114,232,74,2,240,288,18,71,7,526,298,341.7,2025-03-28
BIOCON,-10,-2,15,0,47,51,-152,47,3,106,183,339.1,2025-04-01
BIOCON,-136,23,16,2,36,-103,5,9,-1,138,101,342.05,2025-04-02
BIOCON,56,-2,-4,0,433,342,224,32,7,-37,-22,345.75,2025-04-03
BOSCHLTD,-242,3,1,0,88,69,26,0,2,81,7,28358.35,2025-03-28
BOSCHLTD,60,0,0,1,32,68,20,1,6,-5,12,27883.95,2025-04-01
BOSCHLTD,-108,-18,1,0,135,43,0,-2,0,55,9,28026.35,2025-04-02
BOSCHLTD,107,41,9,-1,40,137,1,-2,0,0,13,28013.35,2025-04-03
BPCL,-616,37,61,25,786,337,119,123,84,189,163,278.45,2025-03-28
BPCL,-2337,-8,-137,-137,358,348,190,90,0,462,186,284.6,2025-04-01
BPCL,-1232,95,39,0,522,299,80,14,0,449,158,286.8,2025-04-02
BPCL,-315,34,-35,0,581,202,93,5,0,351,112,286.8,2025-04-03
BRITANNIA,-268,-334,-44,9,1333,1601,160,414,22,849,1149,4936.9,2025-03-28
BRITANNIA,-219,73,-42,60,489,37,85,-81,-2,-21,91,4900.8,2025-04-01
BRITANNIA,361,-842,-274,14,-16,52,72,105,7,405,337,5037.4,2025-04-02
BRITANNIA,594,58,-86,4,141,92,90,68,-3,388,290,5073.7,2025-04-03
BSE,1430,1209,446,-1650,3412,7191,499,438,28,11146,6610,5479.8,2025-03-28
BSE,-59,142,-454,-234,766,518,479,388,0,204,-442,5466,2025-04-01
BSE,-356,309,-908,-105,1485,355,219,144,,481,657,5654.85,2025-04-02
BSE,-1066,-67,-747,-151,1760,1076,183,183,,502,-410,5620.85,2025-04-03
BSOFT,313,16,61,2,696,969,-1,173,76,252,280,387.7,2025-03-28
